Program start
Settings:
	Scene: Glass
	Render mode: OptiX
	Resolution: 800x600
	Camera path: No
	Reflections: Yes
	Max reflections: 1
	Refractions: Yes
	Max refractions: 8
	Ambient Occlusion: No
	AO samples: 25
	AO radius: 5
	AO power: 1
	AO noise scale: 100
	Embree threads: 16
	Embree tiles: Yes
	Width: 16
	Height: 16
	Embree primary packets: Yes
	Secondary packets: No
	OptiX progressive render: No
	OptiX stack size: 4096
	Hybrid threaded: Yes
	Hybrid balance mode: Manual
	Partition: 0.5
	Hybrid display partition: Yes
	Hybrid enable Embree: Yes
	Hybrid enable OptiX: Yes
Changed Reflections: No
Changed Refractions: No
2016-05-23 13.27.08 Started benchmark
0	0.0594
0	0.05933
0	0.05977
0	0.05923
0	0.05959
0	0.05952
0	0.05921
0	0.05931
0	0.05941
0	0.05925
0	0.05923
0	0.05931
0	0.05941
0	0.05943
0	0.05928
0	0.05927
0	0.06072
0	0.05996
2016-05-23 13.27.09 Stopped benchmark
Changed Camera path: Yes
2016-05-23 13.27.11 Started benchmark
1	0.03551
2	0.03594
3	0.03668
4	0.03636
5	0.03674
6	0.03514
7	0.03682
8	0.03712
9	0.03749
10	0.03606
11	0.03652
12	0.03612
13	0.03614
14	0.03572
15	0.03609
16	0.03555
17	0.0368
18	0.037
19	0.03619
20	0.0357
21	0.0359
22	0.03565
23	0.03589
24	0.03628
25	0.03677
26	0.03581
27	0.03618
28	0.0349
29	0.03582
30	0.03468
31	0.03584
32	0.03622
33	0.03679
34	0.03596
35	0.03597
36	0.03621
37	0.03595
38	0.03635
39	0.03623
40	0.03641
41	0.03676
42	0.03683
43	0.03686
44	0.03744
45	0.03745
46	0.03798
47	0.0378
48	0.03788
49	0.03758
50	0.03697
51	0.03771
52	0.03819
53	0.03949
54	0.03863
55	0.039
56	0.03979
57	0.03918
58	0.03937
59	0.03941
60	0.03954
61	0.03969
62	0.04045
63	0.04116
64	0.0406
65	0.04077
66	0.04062
67	0.04073
68	0.04112
69	0.0404
70	0.04044
71	0.04058
72	0.03989
73	0.04076
74	0.04085
75	0.03989
76	0.04116
77	0.0417
78	0.04125
79	0.04144
80	0.0416
81	0.04139
82	0.04191
83	0.04186
84	0.04214
85	0.04231
86	0.04268
87	0.04313
88	0.04436
89	0.04411
90	0.04457
91	0.04458
2016-05-23 13.27.15 Stopped benchmark
2016-05-23 13.27.16 Started benchmark
1	0.03663
2	0.03592
3	0.03632
4	0.03673
5	0.03617
6	0.0366
7	0.0356
8	0.03666
9	0.03654
10	0.0359
11	0.03604
12	0.0356
13	0.03593
14	0.03657
15	0.03564
16	0.03617
17	0.0359
18	0.03596
19	0.0364
20	0.03643
21	0.03651
22	0.03625
23	0.03597
24	0.0359
25	0.03676
26	0.03633
27	0.03627
28	0.0369
29	0.03497
30	0.03589
31	0.03614
32	0.03632
33	0.03732
34	0.03647
35	0.03777
36	0.03637
37	0.03695
38	0.03679
39	0.03683
40	0.03624
41	0.03622
42	0.03647
43	0.03683
44	0.03687
45	0.03805
46	0.03746
47	0.03706
48	0.03784
49	0.03768
50	0.03791
51	0.03731
52	0.03829
53	0.03943
54	0.03923
55	0.03863
56	0.03797
57	0.04028
58	0.04062
59	0.03953
60	0.0396
61	0.03992
62	0.0396
63	0.04045
64	0.0398
65	0.04036
66	0.04078
67	0.04042
68	0.04053
69	0.04183
70	0.04112
71	0.04118
72	0.04099
73	0.04084
74	0.04075
75	0.04119
76	0.0409
77	0.1083
78	0.04138
79	0.04204
80	0.04243
81	0.04249
82	0.04172
83	0.0429
84	0.04213
85	0.04219
86	0.04334
87	0.04313
88	0.04314
89	0.04355
90	0.04387
91	0.04428
92	0.04531
93	0.04477
94	0.04508
95	0.04518
96	0.04458
97	0.04599
98	0.04597
99	0.04575
100	0.04674
101	0.04448
102	0.0456
103	0.04518
104	0.04513
105	0.04521
106	0.04589
107	0.04542
108	0.0446
109	0.04433
110	0.04373
111	0.04381
112	0.04327
113	0.0429
114	0.04379
115	0.04397
116	0.04404
117	0.0434
118	0.04238
119	0.04356
120	0.04389
121	0.04448
122	0.04515
123	0.0456
124	0.046
125	0.04659
126	0.0471
127	0.04682
128	0.04759
129	0.04805
130	0.04859
131	0.04949
132	0.04956
133	0.0512
134	0.05181
135	0.05238
136	0.05295
137	0.05478
138	0.05479
139	0.05448
140	0.055
141	0.0572
142	0.05922
143	0.06012
144	0.06078
145	0.06253
146	0.05881
147	0.05828
148	0.05584
149	0.05558
150	0.05706
151	0.05703
152	0.05676
153	0.05884
154	0.06022
155	0.06276
156	0.06413
157	0.0645
158	0.06567
159	0.06785
160	0.06798
161	0.06595
162	0.06606
163	0.06316
164	0.06159
165	0.06616
166	0.05941
167	0.05946
168	0.05961
169	0.05691
170	0.05739
171	0.05706
172	0.05639
173	0.05612
174	0.05578
175	0.05613
176	0.0561
177	0.05657
178	0.05693
179	0.05861
180	0.06077
181	0.06179
182	0.06275
183	0.0641
184	0.06494
185	0.06438
186	0.06551
187	0.06741
188	0.06925
189	0.06998
190	0.06968
191	0.06717
192	0.0674
193	0.06562
194	0.06505
195	0.06401
196	0.06293
197	0.06296
198	0.06334
199	0.06194
200	0.06204
201	0.06137
202	0.06155
203	0.06084
204	0.06048
205	0.0611
206	0.0612
207	0.06124
208	0.05863
209	0.05848
210	0.05732
211	0.05722
212	0.05668
213	0.05698
214	0.05759
215	0.05636
216	0.05702
217	0.05631
218	0.05688
219	0.05661
220	0.0568
221	0.05755
222	0.06204
223	0.05669
224	0.05707
2016-05-23 13.27.28 Stopped benchmark
Changed Camera path: No
Changed Render mode: Embree
Changed Render mode: OpenGL
